offer_id,extraction_date,lat,lng,area_m2,furnished,zip_code,main_category,rooms,build_year,state,city,sub_category,balcony,heat_type,offer_title,kitchen,rent_price,garden
45556287,2021-11-10 05:15:08,51.22833589191104,6.772807496629974,71.13,1,40213.0,Wohnung,2.0,2017.0,Nordrhein-Westfalen,Düsseldorf,Erdgeschosswohnung,0,,Wohnen zwischen Rhein und KÖ im Andreas Quartier,1,1140.0,0
44868172,2021-11-10 05:15:08,52.37814,9.72862,40.0,1,30159.0,Wohnung,1.0,1960.0,Niedersachsen,Hannover,Apartment,1,Etagenheizung,Renovierte und möblierte Wohnung mit All-in-Miete im Zentrum von Hannover!,1,798.0,0
45163112,2021-11-10 05:15:08,51.01288,13.87335,58.04,1,1326.0,Wohnung,2.0,1900.0,Sachsen,Dresden,Etagenwohnung,0,Zentralheizung,Gemütliche 2-Raum-Wohnung in der nähe vom Schlosspark,0,470.0,0
43262568,2021-11-10 05:15:08,48.15841,11.6474,63.0,1,81927.0,Wohnung,2.0,2018.0,Bayern,München,Wohnung,1,,Sehr schöne 63 m² 2-Zimmer-Wohnung mit Balkon im München Bogenhausen,1,1300.0,1
45752952,2021-11-10 05:15:08,53.45107,9.94895,29.92,1,21077.0,Wohnung,1.0,1972.0,Hamburg,Hamburg,Wohnung,1,Zentralheizung,Nur für Personen ab 60 Jahre mit §5-Schein!,1,171.0,0
45818498,2021-11-10 05:15:08,51.44186,6.99057,56.64,1,45147.0,Wohnung,2.0,1911.0,Nordrhein-Westfalen,Essen,Wohnung,0,,*** Super gemütliche DG-Wohnung in zentraler Lage - sofort bezugsfrei ***,0,475.0,0
45720195,2021-11-10 05:15:08,48.12614,11.67792,81.15,1,81829.0,Wohnung,3.0,2018.0,Bayern,München,Erdgeschosswohnung,0,Zentralheizung,Neuwertige,1,1550.0,1
45720199,2021-11-10 05:15:08,48.08039,11.50584,46.0,1,81477.0,Wohnung,2.0,1966.0,Bayern,München,Etagenwohnung,0,Etagenheizung,Schöne,0,830.0,0
45818509,2021-11-10 05:15:08,51.07233,13.74671,47.49,1,1097.0,Wohnung,2.0,2021.0,Sachsen,Dresden,Etagenwohnung,0,Zentralheizung,Neubau - Nachmietersuche fast Erstbezug separate Küche mit EBK - TG möglich!!!,0,540.0,0
45818511,2021-11-10 05:15:08,51.03665,13.78964,36.28,1,1277.0,Wohnung,1.0,2021.0,Sachsen,Dresden,Etagenwohnung,0,Zentralheizung,NEU... NEU... NEU,0,450.0,0
